,Gender,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Average Score,WklyStudyHoursValue
0,female,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,71,74,72.0,1.0
1,female,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,69,90,88,82.0,2.0
2,female,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91,90.0,1.0
3,male,associate's degree,free/reduced,none,married,never,no,1.0,school_bus,5 - 10,45,56,42,48.0,2.0
4,male,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75,76.0,2.0
5,female,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79,79.0,2.0
6,female,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89,89.0,2.0
7,male,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39,41.0,3.0
8,male,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68,66.0,3.0
9,female,high school,free/reduced,none,married,regularly,yes,2.0,private,< 5,37,59,50,49.0,1.0
11,male,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43,45.0,2.0
12,female,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74,74.0,2.0
13,male,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71,75.0,3.0
14,female,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58,53.0,1.0
15,female,some high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,69,75,78,74.0,1.8977295694940375
16,male,high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,88,89,86,88.0,2.0
17,female,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28,26.0,2.0
18,male,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47,45.0,2.0
19,female,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58,55.0,1.0
20,male,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63,66.0,2.0
21,female,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70,70.0,2.0
22,male,associate's degree,standard,none,married,never,yes,5.0,school_bus,5 - 10,42,53,51,49.0,2.0
23,female,some high school,standard,none,divorced,never,no,3.0,school_bus,5 - 10,66,71,71,69.0,2.0
24,male,associate's degree,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,71,80,75.0,2.0
25,male,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76,76,76.0,2.0
26,male,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53,53,57.0,1.0
27,female,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70,76,72.0,3.0
28,male,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70,65,68.0,2.0
29,female,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72,70.0,1.0
30,female,some college,standard,none,single,sometimes,yes,5.0,school_bus,5 - 10,63,65,61,63.0,2.0
31,female,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73,66,65.0,2.0
32,male,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,40,42,38,40.0,2.0
33,male,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,5 - 10,97,87,82,89.0,1.8977295694940375
34,male,associate's degree,standard,completed,single,sometimes,no,2.0,school_bus,5 - 10,81,81,79,80.0,2.0
35,female,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82,85,81.0,2.0
36,female,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64,60,58.0,2.0
37,female,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91,90,86.0,2.0
38,male,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56,58,57.0,2.0
39,male,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60,52,55.0,2.0
40,female,associate's degree,standard,none,divorced,regularly,no,1.0,school_bus,5 - 10,59,74,69,67.0,2.0
41,male,some college,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,60,65,67,64.0,2.0
42,female,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55,52,52.0,1.0
43,male,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53,55,57.0,1.0
44,female,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,67,72,77,72.0,2.0
45,male,high school,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,82,84,82,83.0,2.0
46,male,some college,standard,none,married,never,no,3.0,school_bus,> 10,54,55,48,52.0,3.0
